kind,alcohol,malic acid,ash,alkalinity,magnesium,phenols,flavonoids,nf phenols,pas,color,fue,od2380/315,proline
1,13.510,1.800,2.650,19.000,110,2.350,2.530,0.290,1.540,4.200,1.100,2.870,1095
1,13.480,1.810,2.410,20.500,100,2.700,2.980,0.260,1.860,5.100,1.040,3.470,920
1,13.280,1.640,2.840,15.500,110,2.600,2.680,0.340,1.360,4.600,1.090,2.780,880
1,13.050,1.650,2.550,18.000,98,2.450,2.430,0.290,1.440,4.250,1.120,2.510,1105
1,13.070,1.500,2.100,15.500,98,2.400,2.640,0.280,1.370,3.700,1.180,2.690,1020
1,14.220,3.990,2.510,13.200,128,3.000,3.040,0.200,2.080,5.100,0.890,3.530,760
1,13.560,1.710,2.310,16.200,117,3.150,3.290,0.340,2.340,6.130,0.950,3.380,795
1,13.410,3.840,2.120,18.800,90,2.450,2.680,0.270,1.480,4.280,0.910,3.000,1035
1,13.880,1.890,2.590,15.000,101,3.250,3.560,0.170,1.700,5.430,0.880,3.560,1095
1,13.240,3.980,2.290,17.500,103,2.640,2.630,0.320,1.660,4.360,0.820,3.000,680
1,13.050,1.770,2.100,17.000,107,3.000,3.000,0.280,2.030,5.040,0.880,3.350,885
1,14.210,4.040,2.440,18.900,111,2.850,2.650,0.300,1.250,5.240,0.870,3.330,1080
1,14.380,3.590,2.280,16.000,102,3.250,3.170,0.270,2.190,4.900,1.040,3.440,1065
1,13.900,1.680,2.120,16.000,101,3.100,3.390,0.210,2.140,6.100,0.910,3.330,985
1,14.100,2.020,2.400,18.800,103,2.750,2.920,0.320,2.380,6.200,1.070,2.750,1060
1,13.940,1.730,2.270,17.400,108,2.880,3.540,0.320,2.080,8.900,1.120,3.100,1260
1,13.050,1.730,2.040,12.400,92,2.720,3.270,0.170,2.910,7.200,1.120,2.910,1150
1,13.830,1.650,2.600,17.200,94,2.450,2.990,0.220,2.290,5.600,1.240,3.370,1265
1,13.820,1.750,2.420,14.000,111,3.880,3.740,0.320,1.870,7.050,1.010,3.260,1190
1,13.770,1.900,2.680,17.100,115,3.000,2.790,0.390,1.680,6.300,1.130,2.930,1375
1,13.740,1.670,2.250,16.400,118,2.600,2.900,0.210,1.620,5.850,0.920,3.200,1060
1,13.560,1.730,2.460,20.500,116,2.960,2.780,0.200,2.450,6.250,0.980,3.030,1120
1,14.220,1.700,2.300,16.300,118,3.200,3.000,0.260,2.030,6.380,0.940,3.310,970
1,13.290,1.970,2.680,16.800,102,3.000,3.230,0.310,1.660,6.000,1.070,2.840,1270
1,13.720,1.430,2.500,16.700,108,3.400,3.670,0.190,2.040,6.800,0.890,2.870,1285
2,12.370,0.940,1.360,10.600,88,1.980,0.570,0.280,0.420,1.950,1.050,1.820,520
2,12.330,1.100,2.280,16.000,101,2.050,1.090,0.630,0.410,3.270,1.250,1.670,680
2,12.640,1.360,2.020,16.800,100,2.020,1.410,0.530,0.620,5.750,0.980,1.590,450
2,13.670,1.250,1.920,18.000,94,2.100,1.790,0.320,0.730,3.800,1.230,2.460,630
2,12.370,1.130,2.160,19.000,87,3.500,3.100,0.190,1.870,4.450,1.220,2.870,420
2,12.170,1.450,2.530,19.000,104,1.890,1.750,0.450,1.030,2.950,1.450,2.230,355
2,12.370,1.210,2.560,18.100,98,2.420,2.650,0.370,2.080,4.600,1.190,2.300,678
2,13.110,1.010,1.700,15.000,78,2.980,3.180,0.260,2.280,5.300,1.120,3.180,502
2,12.370,1.170,1.920,19.600,78,2.110,2.000,0.270,1.040,4.680,1.120,3.480,510
2,13.340,0.940,2.360,17.000,110,2.530,1.300,0.550,0.420,3.170,1.020,1.930,750
2,12.210,1.190,1.750,16.800,151,1.850,1.280,0.140,2.500,2.850,1.280,3.070,718
2,12.290,1.610,2.210,20.400,103,1.100,1.020,0.370,1.460,3.050,0.906,1.820,870
2,13.860,1.510,2.670,25.000,86,2.950,2.860,0.210,1.870,3.380,1.360,3.160,410
2,13.490,1.660,2.240,24.000,87,1.880,1.840,0.270,1.030,3.740,0.980,2.780,472
2,12.990,1.670,2.600,30.000,139,3.300,2.890,0.210,1.960,3.350,1.310,3.500,985
2,11.960,1.090,2.300,21.000,101,3.380,2.140,0.130,1.650,3.210,0.990,3.130,886
2,11.660,1.880,1.920,16.000,97,1.610,1.570,0.340,1.150,3.800,1.230,2.140,428
2,13.030,0.900,1.710,16.000,86,1.950,2.030,0.240,1.460,4.600,1.190,2.480,392
2,11.840,2.890,2.230,18.000,112,1.720,1.320,0.430,0.950,2.650,0.960,2.520,500
2,12.330,0.990,1.950,14.800,136,1.900,1.850,0.350,2.760,3.400,1.060,2.310,750
2,12.700,3.870,2.400,23.000,101,2.830,2.550,0.430,1.950,2.570,1.190,3.130,463
2,12.000,0.920,2.000,19.000,86,2.420,2.260,0.300,1.430,2.500,1.380,3.120,278
2,12.720,1.810,2.200,18.800,86,2.200,2.530,0.260,1.770,3.900,1.160,3.140,714
2,12.080,1.130,2.510,24.000,78,2.000,1.580,0.400,1.400,2.200,1.310,2.720,630
2,13.050,3.860,2.320,22.500,85,1.650,1.590,0.610,1.620,4.800,0.840,2.010,515
2,11.840,0.890,2.580,18.000,94,2.200,2.210,0.220,2.350,3.050,0.790,3.080,520
2,12.670,0.980,2.240,18.000,99,2.200,1.940,0.300,1.460,2.620,1.230,3.160,450
2,12.160,1.610,2.310,22.800,90,1.780,1.690,0.430,1.560,2.450,1.330,2.260,495
2,11.650,1.670,2.620,26.000,88,1.920,1.610,0.400,1.340,2.600,1.360,3.210,562
2,11.640,2.060,2.460,21.600,84,1.950,1.690,0.480,1.350,2.800,1.000,2.750,680
2,12.080,1.330,2.300,23.600,70,2.200,1.590,0.420,1.380,1.740,1.070,3.210,625
2,12.080,1.830,2.320,18.500,81,1.600,1.500,0.520,1.640,2.400,1.080,2.270,480
2,12.000,1.510,2.420,22.000,86,1.450,1.250,0.500,1.630,3.600,1.050,2.650,450
2,12.690,1.530,2.260,20.700,80,1.380,1.460,0.580,1.620,3.050,0.960,2.060,495
2,12.290,2.830,2.220,18.000,88,2.450,2.250,0.250,1.990,2.150,1.150,3.300,290
2,11.620,1.990,2.280,18.000,98,3.020,2.260,0.170,1.350,3.250,1.160,2.960,345
2,12.470,1.520,2.200,19.000,162,2.500,2.270,0.320,3.280,2.600,1.160,2.630,937
2,11.810,2.120,2.740,21.500,134,1.600,0.990,0.140,1.560,2.500,0.950,2.260,625
2,12.290,1.410,1.980,16.000,85,2.550,2.500,0.290,1.770,2.900,1.230,2.740,428
2,12.370,1.070,2.100,18.500,88,3.520,3.750,0.240,1.950,4.500,1.040,2.770,660
2,12.290,3.170,2.210,18.000,88,2.850,2.990,0.450,2.810,2.300,1.420,2.830,406
2,12.080,2.080,1.700,17.500,97,2.230,2.170,0.260,1.400,3.300,1.270,2.960,710
2,12.600,1.340,1.900,18.500,88,1.450,1.360,0.290,1.350,2.450,1.040,2.770,562
2,12.340,2.450,2.460,21.000,98,2.560,2.110,0.340,1.310,2.800,0.800,3.380,438
2,11.820,1.720,1.880,19.500,86,2.500,1.640,0.370,1.420,2.060,0.940,2.440,415
2,12.510,1.730,1.980,20.500,85,2.200,1.920,0.320,1.480,2.940,1.040,3.570,672
2,12.420,2.550,2.270,22.000,90,1.680,1.840,0.660,1.420,2.700,0.860,3.300,315
2,12.250,1.730,2.120,19.000,80,1.650,2.030,0.370,1.630,3.400,1.000,3.170,510
2,12.720,1.750,2.280,22.500,84,1.380,1.760,0.480,1.630,3.300,0.880,2.420,488
2,12.220,1.290,1.940,19.000,92,2.360,2.040,0.390,2.080,2.700,0.860,3.020,312
2,11.610,1.350,2.700,20.000,94,2.740,2.920,0.290,2.490,2.650,0.960,3.260,680
2,11.460,3.740,1.820,19.500,107,3.180,2.580,0.240,3.580,2.900,0.750,2.810,562
2,12.520,2.430,2.170,21.000,88,2.550,2.270,0.260,1.220,2.000,0.900,2.780,325
2,11.760,2.680,2.920,20.000,103,1.750,2.030,0.600,1.050,3.800,1.230,2.500,607
2,11.410,0.740,2.500,21.000,88,2.480,2.010,0.420,1.440,3.080,1.100,2.310,434
2,12.080,1.390,2.500,22.500,84,2.560,2.290,0.430,1.040,2.900,0.930,3.190,385
2,11.030,1.510,2.200,21.500,85,2.460,2.170,0.520,2.010,1.900,1.710,2.870,407
2,11.820,1.470,1.990,20.800,86,1.980,1.600,0.300,1.530,1.950,0.950,3.330,495
2,12.420,1.610,2.190,22.500,108,2.000,2.090,0.340,1.610,2.060,1.060,2.960,345
2,12.770,3.430,1.980,16.000,80,1.630,1.250,0.430,0.830,3.400,0.700,2.120,372
2,12.000,3.430,2.000,19.000,87,2.000,1.640,0.370,1.870,1.280,0.930,3.050,564
2,11.450,2.400,2.420,20.000,96,2.900,2.790,0.320,1.830,3.250,0.800,3.390,625
2,11.560,2.050,3.230,28.500,119,3.180,5.080,0.470,1.870,6.000,0.930,3.690,465
2,12.420,4.430,2.730,26.500,102,2.200,2.130,0.430,1.710,2.080,0.920,3.120,365
2,13.050,5.800,2.130,21.500,86,2.620,2.650,0.300,2.010,2.600,0.730,3.100,380
2,11.870,4.310,2.390,21.000,82,2.860,3.030,0.210,2.910,2.800,0.750,3.640,380
2,12.070,2.160,2.170,21.000,85,2.600,2.650,0.370,1.350,2.760,0.860,3.280,378
2,12.430,1.530,2.290,21.500,86,2.740,3.150,0.390,1.770,3.940,0.690,2.840,352
2,11.790,2.130,2.780,28.500,92,2.130,2.240,0.580,1.760,3.000,0.970,2.440,466
2,12.370,1.630,2.300,24.500,88,2.220,2.450,0.400,1.900,2.120,0.890,2.780,342
2,12.040,4.300,2.380,22.000,80,2.100,1.750,0.420,1.350,2.600,0.790,2.570,580
3,12.860,1.350,2.320,18.000,122,1.510,1.250,0.210,0.940,4.100,0.760,1.290,630
3,12.880,2.990,2.400,20.000,104,1.300,1.220,0.240,0.830,5.400,0.740,1.420,530
3,12.810,2.310,2.400,24.000,98,1.150,1.090,0.270,0.830,5.700,0.660,1.360,560
3,12.700,3.550,2.360,21.500,106,1.700,1.200,0.170,0.840,5.000,0.780,1.290,600
3,12.510,1.240,2.250,17.500,85,2.000,0.580,0.600,1.250,5.450,0.750,1.510,650
3,12.600,2.460,2.200,18.500,94,1.620,0.660,0.630,0.940,7.100,0.730,1.580,695
3,12.250,4.720,2.540,21.000,89,1.380,0.470,0.530,0.800,3.850,0.750,1.270,720
3,12.530,5.510,2.640,25.000,96,1.790,0.600,0.630,1.100,5.000,0.820,1.690,515
3,13.490,3.590,2.190,19.500,88,1.620,0.480,0.580,0.880,5.700,0.810,1.820,580
3,12.840,2.960,2.610,24.000,101,2.320,0.600,0.530,0.810,4.920,0.890,2.150,590
3,12.930,2.810,2.700,21.000,96,1.540,0.500,0.530,0.750,4.600,0.770,2.310,600
3,13.360,2.560,2.350,20.000,89,1.400,0.500,0.370,0.640,5.600,0.700,2.470,780
3,13.520,3.170,2.720,23.500,97,1.550,0.520,0.500,0.550,4.350,0.890,2.060,520
3,13.620,4.950,2.350,20.000,92,2.000,0.800,0.470,1.020,4.400,0.910,2.050,550
3,12.250,3.880,2.200,18.500,112,1.380,0.780,0.290,1.140,8.210,0.650,2.000,855
3,13.160,3.570,2.150,21.000,102,1.500,0.550,0.430,1.300,4.000,0.600,1.680,830
3,13.880,5.040,2.230,20.000,80,0.980,0.340,0.400,0.680,4.900,0.580,1.330,415
3,12.870,4.610,2.480,21.500,86,1.700,0.650,0.470,0.860,7.650,0.540,1.860,625
3,13.320,3.240,2.380,21.500,92,1.930,0.760,0.450,1.250,8.420,0.550,1.620,650
3,13.080,3.900,2.360,21.500,113,1.410,1.390,0.340,1.140,9.400,0.570,1.330,550
3,13.500,3.120,2.620,24.000,123,1.400,1.570,0.220,1.250,8.600,0.590,1.300,500
3,12.790,2.670,2.480,22.000,112,1.480,1.360,0.240,1.260,10.800,0.480,1.470,480
3,13.110,1.900,2.750,25.500,116,2.200,1.280,0.260,1.560,7.100,0.610,1.330,425
3,13.230,3.300,2.280,18.500,98,1.800,0.830,0.610,1.870,10.520,0.560,1.510,675
3,12.580,1.290,2.100,20.000,103,1.480,0.580,0.530,1.400,7.600,0.580,1.550,640
3,13.170,5.190,2.320,22.000,93,1.740,0.630,0.610,1.550,7.900,0.600,1.480,725
3,13.840,4.120,2.380,19.500,89,1.800,0.830,0.480,1.560,9.010,0.570,1.640,480
3,12.450,3.030,2.640,27.000,97,1.900,0.580,0.630,1.140,7.500,0.670,1.730,880
3,14.340,1.680,2.700,25.000,98,2.800,1.310,0.530,2.700,13.000,0.570,1.960,660
3,13.480,1.670,2.640,22.500,89,2.600,1.100,0.520,2.290,11.750,0.570,1.780,620
3,12.360,3.830,2.380,21.000,88,2.300,0.920,0.500,1.040,7.650,0.560,1.580,520
3,13.690,3.260,2.540,20.000,107,1.830,0.560,0.500,0.800,5.880,0.960,1.820,680
3,12.850,3.270,2.580,22.000,106,1.650,0.600,0.600,0.960,5.580,0.870,2.110,570
3,12.960,3.450,2.350,18.500,106,1.390,0.700,0.400,0.940,5.280,0.680,1.750,675
3,13.780,2.760,2.300,22.000,90,1.350,0.680,0.410,1.030,9.580,0.700,1.680,615
3,13.730,4.360,2.260,22.500,88,1.280,0.470,0.520,1.150,6.620,0.780,1.750,520
3,13.450,3.700,2.600,23.000,111,1.700,0.920,0.430,1.460,10.680,0.850,1.560,695
3,12.820,3.370,2.300,19.500,88,1.480,0.660,0.400,0.970,10.260,0.720,1.750,685
3,13.580,2.580,2.690,24.500,105,1.550,0.840,0.390,1.540,8.660,0.740,1.800,750
3,13.400,4.600,2.860,25.000,112,1.980,0.960,0.270,1.110,8.500,0.670,1.920,630
3,12.200,3.030,2.320,19.000,96,1.250,0.490,0.400,0.730,5.500,0.660,1.830,510
3,12.770,2.390,2.280,19.500,86,1.390,0.510,0.480,0.640,9.900,0.570,1.630,470
3,14.160,2.510,2.480,20.000,91,1.680,0.700,0.440,1.240,9.700,0.620,1.710,660
3,13.710,5.650,2.450,20.500,95,1.680,0.610,0.520,1.060,7.700,0.640,1.740,740
3,13.400,3.910,2.480,23.000,102,1.800,0.750,0.430,1.410,7.300,0.700,1.560,750
3,13.270,4.280,2.260,20.000,120,1.590,0.690,0.430,1.350,10.200,0.590,1.560,835
3,13.170,2.590,2.370,20.000,120,1.650,0.680,0.530,1.460,9.300,0.600,1.620,840
3,14.130,4.100,2.740,24.500,96,2.050,0.760,0.560,1.350,9.200,0.610,1.600,560
