Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
HH324542,121XX S BISHOP ST,GAME/DICE,ALLEY,True,2002,41.673298705,-87.657599749
HH678763,001XX N PINE AVE,GAME/DICE,OTHER,True,2002,41.882783955,-87.76327662799999
HM587389,057XX S LOOMIS BLVD,GAME/DICE,RESIDENCE,True,2006,41.78961188,-87.659617502
HN653200,055XX S RACINE AVE,ILLEGAL ILL LOTTERY,STREET,True,2007,41.793436846,-87.65485784100001
HZ327471,012XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2016,41.90351102,-87.758280089
HN493025,0000X N LATROBE AVE,GAME/DICE,SIDEWALK,True,2007,41.881385316999996,-87.756319279
G191908,101XX S EMERALD AV,GAME/DICE,SIDEWALK,True,2001,41.708849201999996,-87.64152353200001
HY389600,002XX S LOTUS AVE,GAME/DICE,SIDEWALK,True,2015,41.878157774,-87.76174613399999
HJ315069,026XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2003,41.968565569,-87.69443330899999
HY337320,030XX W LEXINGTON ST,GAME/DICE,STREET,True,2015,41.871908601,-87.70191758200001
HZ422969,051XX S CALUMET AVE,GAME/DICE,STREET,True,2016,41.801513039,-87.617733588
HM680094,050XX W HURON ST,GAME/DICE,SIDEWALK,True,2006,41.893113371,-87.751255395
HN403026,0000X N LOREL AVE,GAME/DICE,SIDEWALK,True,2007,41.880845916999995,-87.75875141700001
G339337,074XX N GREENVIEW AV,OTHER,SIDEWALK,True,2001,42.017060828000005,-87.668320874
HL471296,078XX S DREXEL AVE,GAME/DICE,ALLEY,True,2005,41.75236474,-87.602781335
HJ762661,071XX S JEFFERY BLVD,ILLEGAL ILL LOTTERY,STREET,True,2003,41.76587359,-87.576294705
HP509779,045XX N CLARENDON AVE,GAME/DICE,PARK PROPERTY,True,2008,41.964895907,-87.650000859
HK615181,070XX W ARCHER AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.792040893,-87.79727199999999
G408207,050XX S HERMITAGE AV,GAME/DICE,SIDEWALK,True,2001,41.801660428000005,-87.66828989700001
HV304467,048XX W MONROE ST,GAME/DICE,SIDEWALK,True,2012,41.879490143000005,-87.746249174
HM501427,057XX W BLOOMINGDALE AVE,GAME/DICE,PARK PROPERTY,True,2006,41.912641265,-87.76770635700001
HL363695,007XX N HOMAN AVE,GAME/DICE,SIDEWALK,True,2005,41.894262843,-87.71140126600001
HL587846,067XX S EAST END AVE,OTHER,SIDEWALK,True,2005,41.772674043,-87.58384358299999
HT364046,001XX N LOTUS AVE,GAME/DICE,SIDEWALK,True,2011,41.882907496,-87.76163035799999
HR453911,052XX S MARSHFIELD AVE,GAME/DICE,SIDEWALK,True,2009,41.798932649,-87.665930589
HT331045,058XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2011,41.893841129,-87.771192552
HK230148,029XX S ARCHER AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.840199440999996,-87.660951391
HH227422,018XX W 87 ST,GAME/AMUSEMENT DEVICE,GROCERY FOOD STORE,True,2002,41.73572062,-87.668322097
HP469984,001XX W 112TH ST,GAME/DICE,SIDEWALK,True,2008,41.690728743,-87.62669542200001
HY365212,0000X N MASON AVE,GAME/DICE,STREET,True,2015,41.880719921,-87.77324278399999
HT478759,033XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2011,41.877283353,-87.710233012
HH619638,076XX S STEWART AVE,GAME/DICE,APARTMENT,True,2002,41.755368956,-87.634416245
HW465765,035XX W 13TH PL,GAME/DICE,SIDEWALK,True,2013,41.864095638,-87.713999212
HR308395,002XX S LAVERGNE AVE,GAME/DICE,SIDEWALK,True,2009,41.878221581999995,-87.749337912
HN623428,067XX S LANGLEY AVE,OTHER,SIDEWALK,True,2007,41.772588844,-87.608197446
HL361908,114XX S RACINE AVE,NATIONAL LOTTERY,RESIDENCE,True,2005,41.686320017,-87.651924346
HJ286199,057XX S MICHIGAN AVE,GAME/DICE,RESIDENCE,True,2003,41.790594835,-87.62236174600001
HR442639,027XX W DEVON AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2009,41.997572084,-87.69894781299999
HP447183,009XX N CENTRAL PARK AVE,GAME/DICE,SIDEWALK,True,2008,41.897925894000004,-87.71639422
HV266610,053XX S JUSTINE ST,GAME/DICE,SIDEWALK,True,2012,41.796881935,-87.663447077
HR200179,076XX S HALSTED ST,ILLEGAL ILL LOTTERY,TAVERN/LIQUOR STORE,True,2009,41.755114946,-87.64415678399999
HV482605,059XX S SANGAMON ST,GAME/DICE,ABANDONED BUILDING,True,2012,41.786034028,-87.648596146
G279546,0000X N LOREL AV,GAME/DICE,STREET,True,2001,41.880651782,-87.75889269700001
HJ321998,005XX S LARAMIE AVE,GAME/DICE,STREET,True,2003,41.873696636,-87.754824282
HK521071,057XX S ELIZABETH ST,GAME/DICE,SIDEWALK,True,2004,41.789867668,-87.655980891
HN690377,007XX N CHRISTIANA AVE,GAME/DICE,SIDEWALK,True,2007,41.894258956,-87.71017822600001
HN528923,004XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2007,41.888199249,-87.754131552
HM413924,039XX W GRENSHAW ST,GAME/DICE,SIDEWALK,True,2006,41.867101911999995,-87.72347532399999
HS285463,048XX W CORTEZ ST,GAME/DICE,SIDEWALK,True,2010,41.899588033,-87.746597736
HJ367129,065XX S MAPLEWOOD AVE,GAME/DICE,STREET,True,2003,41.774865999,-87.68718680299999
HV449094,015XX S ST LOUIS AVE,GAME/DICE,SIDEWALK,True,2012,41.859926121,-87.71279867
HL545843,056XX W CORCORAN PL,GAME/DICE,STREET,True,2005,41.887211644000004,-87.76573824299999
HM563536,052XX W FULTON ST,GAME/DICE,SIDEWALK,True,2006,41.885617462,-87.756967941
HJ783224,034XX W MADISON ST,GAME/DICE,PARK PROPERTY,True,2003,41.880906689,-87.711923717
HX360569,051XX N WESTERN AVE,GAME/AMUSEMENT DEVICE,BAR OR TAVERN,True,2014,41.975187862,-87.689126615
HS432065,067XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2010,41.77266371,-87.60701616700001
HY464743,054XX W ADAMS ST,GAME/DICE,SIDEWALK,True,2015,41.878403263,-87.760344914
HX272806,026XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2014,41.968566101,-87.69452891
HM650072,069XX S DORCHESTER AVE,GAME/DICE,STREET,True,2006,41.769414136,-87.59107742399999
HK583535,031XX W DEVON AVE,GAME/CARDS,RESTAURANT,True,2004,41.997421019,-87.707421661
G375335,023XX W TAYLOR ST,GAME/DICE,STREET,True,2001,41.86889528,-87.68417374100001
HK714139,008XX N LECLAIRE AVE,GAME/DICE,SIDEWALK,True,2004,41.895743835,-87.753174524
HM336142,030XX W NORTH AVE,GAME/DICE,PARK PROPERTY,True,2006,41.910159188,-87.70366055299999
HJ493297,066XX S OAKLEY AVE,GAME/DICE,STREET,True,2003,41.773348654,-87.680918515
HN735106,013XX W 71ST ST,GAME/DICE,SIDEWALK,True,2007,41.765008200000004,-87.65709649799999
HJ636543,065XX N CLARK ST,GAME/CARDS,OTHER,True,2003,42.001048401999995,-87.671625853
HN323314,062XX S ROCKWELL ST,GAME/DICE,SIDEWALK,True,2007,41.780293648000004,-87.688551211
HW272318,006XX N SPAULDING AVE,GAME/DICE,SIDEWALK,True,2013,41.892794899,-87.708914316
HJ243672,008XX N CHRISTIANA AVE,GAME/DICE,STREET,True,2003,41.896332277,-87.70993401700001
HS473994,081XX S CALUMET AVE,GAME/DICE,ALLEY,True,2010,41.746608005,-87.61641612700001
HS570580,007XX N AVERS AVE,GAME/DICE,SIDEWALK,True,2010,41.894549571999995,-87.722384194
HJ470971,062XX S ARTESIAN AVE,OTHER,SIDEWALK,True,2003,41.780108365,-87.684886686
HH213841,077XX S INGLESIDE AV,OTHER,"SCHOOL, PUBLIC, BUILDING",True,2002,41.754168689000004,-87.60163575600001
HJ564949,079XX S PULASKI RD,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2003,41.748957622,-87.72189400399999
HZ352812,070XX S ADA ST,GAME/DICE,ABANDONED BUILDING,True,2016,41.766197804,-87.65778779799999
HJ528095,012XX N BURLING ST,OTHER,CHA PARKING LOT/GROUNDS,True,2003,41.904192368000004,-87.647000785
HT465121,054XX W WALTON ST,GAME/DICE,SIDEWALK,True,2011,41.897621763000004,-87.76155423600001
HT507890,062XX S CARPENTER ST,GAME/DICE,SIDEWALK,True,2011,41.780737448000004,-87.650885344
HM584752,052XX W FERDINAND ST,GAME/DICE,SIDEWALK,True,2006,41.888934365,-87.756244004
G048581,018XX E 71 ST,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2001,41.765938393,-87.579054113
HW471757,003XX S LAVERGNE AVE,GAME/DICE,SIDEWALK,True,2013,41.875561909,-87.749240955
HJ471745,081XX S ASHLAND AVE,GAME/DICE,STREET,True,2003,41.746259974000004,-87.663332294
G250178,010XX W LAKE ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,41.885670974,-87.65336870200001
HM469084,008XX W 69TH ST,GAME/DICE,RESTAURANT,True,2006,41.768830696,-87.645029075
HH206428,009XX N LAWLER AV,GAME/DICE,SIDEWALK,True,2002,41.897765868,-87.75199552
HH354675,015XX N LINDER AVE,OTHER,SIDEWALK,True,2002,41.908305952,-87.763383931
HK627570,075XX S STEWART AVE,GAME/DICE,SIDEWALK,True,2004,41.757435724000004,-87.634467122
HP370913,062XX S ARTESIAN AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2008,41.780218151,-87.684889246
HJ549084,006XX N WALLER AVE,GAME/DICE,SIDEWALK,True,2003,41.892389506,-87.767855685
HR554897,071XX S CARPENTER ST,GAME/DICE,SIDEWALK,True,2009,41.76430205,-87.650454735
HT235671,103XX S ELIZABETH ST,GAME/DICE,SIDEWALK,True,2011,41.706201926999995,-87.65364807799999
HR488464,006XX E 77TH ST,GAME/DICE,SIDEWALK,True,2009,41.754878829,-87.60846279799999
HV491851,012XX N KEELER AVE,GAME/DICE,SIDEWALK,True,2012,41.902993707,-87.73123742700001
G282605,045XX S GREENWOOD AV,OTHER,STREET,True,2001,41.812031858000005,-87.59946629299999
HH541973,019XX W WASHINGTON BLVD,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2002,41.883175418,-87.674852215
HN330515,056XX S WINCHESTER AVE,GAME/DICE,SIDEWALK,True,2007,41.79161892,-87.673017835
HL684570,0000X N LATROBE AVE,GAME/DICE,SIDEWALK,True,2005,41.881099854,-87.756307159
HL655117,007XX N WALLER AVE,GAME/DICE,SIDEWALK,True,2005,41.893470945,-87.767897566
HP660901,002XX W 112TH ST,GAME/DICE,SIDEWALK,True,2008,41.690701902,-87.62858128200001
G532845,025XX W 63 ST,GAME/DICE,SIDEWALK,True,2001,41.779092385,-87.687705325
HM214081,008XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2006,41.895968393000004,-87.71267027
HK412797,068XX S MARSHFIELD AVE,GAME/DICE,SIDEWALK,True,2004,41.769770119,-87.66516621299999
HL679144,029XX W FLOURNOY ST,GAME/DICE,SIDEWALK,True,2005,41.872838465,-87.69984494799999
HW347001,028XX W 12TH PL,GAME/DICE,PARK PROPERTY,True,2013,41.865705893000005,-87.69632486399999
HM607140,036XX W FLOURNOY ST,GAME/DICE,SIDEWALK,True,2006,41.872640083,-87.71633269
HK370150,034XX S PRAIRIE AVE,GAME/DICE,SIDEWALK,True,2004,41.832046988,-87.62057123700001
HT511392,011XX S CENTRAL PARK AVE,GAME/DICE,SIDEWALK,True,2011,41.866902523,-87.715436986
G408101,042XX W GRENSHAW ST,GAME/DICE,SIDEWALK,True,2001,41.866870936,-87.73223733100001
HT353972,077XX S LANGLEY AVE,GAME/DICE,SIDEWALK,True,2011,41.754435169000004,-87.607738473
HJ588825,068XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2003,41.771068348,-87.583799955
HJ614478,068XX S JUSTINE ST,GAME/DICE,STREET,True,2003,41.769470526999996,-87.662731582
HM538229,066XX S DAMEN AVE,GAME/DICE,SIDEWALK,True,2006,41.773066144,-87.67373605799999
HK468035,002XX W CERMAK RD,OTHER,OTHER,True,2004,41.852839331,-87.632911994
HM630995,032XX N HARLEM AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2006,41.938672216,-87.80677070200001
HJ460196,077XX S GREENWOOD AVE,GAME/DICE,SIDEWALK,True,2003,41.754274383,-87.597987977
HH182134,004XX E 51 ST,ILLEGAL ILL LOTTERY,STREET,True,2002,41.802105731,-87.615522749
HT386581,006XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2011,41.892000726,-87.75426983
HN436500,015XX S RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2007,41.859893023000005,-87.71889274700001
HR385205,052XX W FULTON ST,GAME/DICE,SIDEWALK,True,2009,41.885619395,-87.75680633700001
HK684920,054XX W MONTROSE AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.960528545,-87.763382055
HR346054,037XX W GRENSHAW ST,GAME/DICE,SIDEWALK,True,2009,41.867163710999996,-87.718595506
HN323105,016XX S HOMAN AVE,GAME/DICE,SIDEWALK,True,2007,41.857966931,-87.710303093
HS197174,004XX N HAMLIN AVE,GAME/DICE,SIDEWALK,True,2010,41.888976921,-87.721008653
HS580319,014XX S KARLOV AVE,OTHER,SIDEWALK,True,2010,41.862027106,-87.727495637
HT487852,052XX N KEDZIE AVE,GAME/CARDS,ATHLETIC CLUB,True,2011,41.97637449,-87.70869797799999
HP576745,004XX N CENTRAL AVE,GAME/DICE,SIDEWALK,True,2008,41.888295413,-87.765141039
HM390931,007XX N CHRISTIANA AVE,GAME/DICE,SIDEWALK,True,2006,41.894146429,-87.71017564700001
HK615565,026XX E 78TH ST,GAME/DICE,SIDEWALK,True,2004,41.753614086999995,-87.560929087
G088862,020XX N CICERO AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,41.917680464,-87.745998475
HS495810,068XX S INDIANA AVE,GAME/DICE,SIDEWALK,True,2010,41.770257455999996,-87.62023657600001
HZ178576,078XX S EMERALD AVE,GAME/DICE,SIDEWALK,True,2016,41.751802963,-87.64285090799999
HP202613,001XX N LATROBE AVE,GAME/DICE,SIDEWALK,True,2008,41.88361957,-87.75640567399999
HS505757,050XX W DIVISION ST,GAME/DICE,GAS STATION,True,2010,41.902285227,-87.752457779
G696640,076XX S VINCENNES AV,GAME/DICE,STREET,True,2001,41.754676185,-87.632866166
HW443614,063XX S FAIRFIELD AVE,GAME/DICE,SIDEWALK,True,2013,41.778101876,-87.692147777
HP594437,007XX W GARFIELD BLVD,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2008,41.79432191,-87.644030302
HZ158112,023XX W WASHINGTON BLVD,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2016,41.883008896999996,-87.68513624799999
HN458507,026XX W LAWRENCE AVE,GAME/CARDS,RESTAURANT,True,2007,41.968565569,-87.69443330899999
HJ832825,036XX S ARCHER AVE,WIREROOM/SPORTS,STREET,True,2003,41.82712626,-87.68296315100001
HP499642,050XX W HURON ST,GAME/DICE,SIDEWALK,True,2008,41.893113371,-87.751255395
HL242014,063XX S YALE AVE,GAME/DICE,GAS STATION,True,2005,41.779793875,-87.63182661299999
HK536865,007XX N WALLER AVE,GAME/DICE,SIDEWALK,True,2004,41.893405086,-87.76789814700001
HS508976,105XX S LAFAYETTE AVE,GAME/DICE,SIDEWALK,True,2010,41.70273043,-87.624586565
HW342539,015XX S SAWYER AVE,GAME/DICE,SIDEWALK,True,2013,41.860016521,-87.70670402799999
HK574432,060XX S WINCHESTER AVE,GAME/DICE,ALLEY,True,2004,41.784364653000004,-87.67282461
HM209967,003XX S HALSTED ST,GAME/CARDS,OTHER,True,2006,41.877646013,-87.647237171
HL631343,022XX W MONROE ST,GAME/DICE,SIDEWALK,True,2005,41.879900006999996,-87.683254514
HV239553,023XX S WENTWORTH AVE,GAME/AMUSEMENT DEVICE,SMALL RETAIL STORE,True,2012,41.84979827,-87.63194316399999
HM527954,070XX S CREGIER AVE,GAME/DICE,SIDEWALK,True,2006,41.767176766999995,-87.581253651
HX338587,021XX W 69TH PL,GAME/DICE,STREET,True,2014,41.767503043000005,-87.67653862700001
G182394,010XX W 72 ST,GAME/DICE,ALLEY,True,2001,41.763387427,-87.651248834
HL679410,054XX W ADAMS ST,GAME/CARDS,STREET,True,2005,41.878399386,-87.760668085
HP563994,057XX S SANGAMON ST,GAME/DICE,STREET,True,2008,41.789750344,-87.64868860700001
HR326408,048XX W RICE ST,GAME/DICE,SIDEWALK,True,2009,41.895941101,-87.74716737600001
HT484763,006XX N LARAMIE AVE,GAME/DICE,SIDEWALK,True,2011,41.892015119,-87.75549273600001
HR545273,086XX S BENNETT AVE,GAME/DICE,ALLEY,True,2009,41.738162992,-87.578166445
HJ343069,094XX S HARVARD AVE,GAME/DICE,SIDEWALK,True,2003,41.722360431,-87.632169609
HJ494409,087XX S WALLACE ST,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2003,41.735394622,-87.63873267299999
HJ787278,090XX S ESCANABA AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2003,41.731003945,-87.554045054
G420149,040XX S STATE ST,GAME/DICE,CHA HALLWAY/STAIRWELL/ELEVATOR,True,2001,41.820620942,-87.626520168
HS472759,078XX S EVANS AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2010,41.752185058,-87.606470146
HT424828,014XX S ST LOUIS AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2011,41.861847377,-87.71284984399999
HP631279,048XX W WALTON ST,GAME/DICE,SIDEWALK,True,2008,41.89773327,-87.747202411
HN662278,061XX S KIMBARK AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.783318153,-87.594708301
HP328183,070XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2008,41.767351647,-87.582816839
HJ403780,011XX S CENTRAL PARK AVE,GAME/DICE,VACANT LOT/LAND,True,2003,41.866916243,-87.71543685399999
HS243170,049XX W WALTON ST,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2010,41.897717521,-87.7489583
HS231514,033XX W MONROE ST,GAME/DICE,SIDEWALK,True,2010,41.87960937,-87.70952373899999
HL567306,009XX N CENTRAL AVE,GAME/DICE,SIDEWALK,True,2005,41.897995383,-87.765506857
HN472810,001XX N FRANCISCO AVE,GAME/DICE,SIDEWALK,True,2007,41.883518856,-87.69881036700001
HL645911,031XX W 51ST ST,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2005,41.800832358,-87.70297159299999
HH567492,052XX W FERDINAND ST,GAME/DICE,SIDEWALK,True,2002,41.888933848,-87.756141175
HR427117,001XX W 110TH ST,GAME/DICE,SIDEWALK,True,2009,41.69437047,-87.626249135
G138323,008XX N FRANCISCO AV,BOOKMAKING/SPORTS,RESIDENCE PORCH/HALLWAY,True,2001,41.896976853000005,-87.69934933399999
HZ263338,015XX E 67TH PL,GAME/DICE,SIDEWALK,True,2016,41.772409096,-87.58783153700001
HH153174,040XX N LINCOLN AV,GAME/AMUSEMENT DEVICE,SMALL RETAIL STORE,True,2002,41.954681453,-87.67912021
HK562662,016XX S SAWYER AVE,GAME/DICE,SIDEWALK,True,2004,41.858712788000005,-87.706665364
HP303834,007XX N DRAKE AVE,GAME/DICE,SIDEWALK,True,2008,41.894266111,-87.715055775
G345142,058XX S INDIANA AV,GAME/DICE,STREET,True,2001,41.789174919000004,-87.62085200799999
HN511821,022XX S KIRKLAND AVE,GAME/DICE,SIDEWALK,True,2007,41.850803874,-87.733397144
HL526451,008XX E 80TH ST,GAME/DICE,SIDEWALK,True,2005,41.749468625,-87.604371641
HM740232,062XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2006,41.780459642,-87.66666847
HN605065,079XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2007,41.750106007,-87.659792541
HT531087,034XX W FIFTH AVE,GAME/DICE,SIDEWALK,True,2011,41.876894273000005,-87.711356724
HL348525,024XX S STATE ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2005,41.848549403,-87.62697990299999
HS278969,0000X E ROOSEVELT RD,GAME/DICE,CTA TRAIN,True,2010,41.867428687,-87.626342565
HR466606,009XX N LAMON AVE,GAME/DICE,SIDEWALK,True,2009,41.897398638,-87.748311071
HW211027,032XX W MAYPOLE AVE,GAME/DICE,SIDEWALK,True,2013,41.88360497,-87.707501835
HJ644321,036XX S STATE ST,OTHER,CHA PARKING LOT/GROUNDS,True,2003,41.82824711,-87.626494991
HP358029,012XX W 14TH ST,GAME/DICE,STREET,True,2008,41.863399817,-87.65821567
HR436504,067XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2009,41.772599929,-87.58384078
HJ323365,060XX S WINCHESTER AVE,GAME/DICE,STREET,True,2003,41.78390079,-87.67281103799999
HN505519,0000X W 114TH ST,GAME/DICE,SIDEWALK,True,2007,41.687126841,-87.623805966
HP452809,005XX E 35TH ST,GAME/DICE,"SCHOOL, PUBLIC, GROUNDS",True,2008,41.831203853000005,-87.612552184
HT135518,101XX S CRANDON AVE,GAME/DICE,SIDEWALK,True,2011,41.710763738000004,-87.566968886
HV331063,070XX S CHAPPEL AVE,GAME/DICE,SIDEWALK,True,2012,41.767229663,-87.57510575799999
HX254745,039XX W POLK ST,GAME/DICE,SIDEWALK,True,2014,41.870739638,-87.723774859
HT243898,019XX E 75TH ST,GAME/DICE,SIDEWALK,True,2011,41.758851459,-87.57845905399999
HN681143,002XX N LA CROSSE AVE,GAME/DICE,SIDEWALK,True,2007,41.884994506999995,-87.746668849
HJ524982,009XX N DRAKE AVE,GAME/DICE,SIDEWALK,True,2003,41.898067557,-87.715180726
HM707293,005XX S LOTUS AVE,GAME/DICE,SIDEWALK,True,2006,41.873491691999995,-87.76157475
HM540759,078XX S EMERALD AVE,GAME/DICE,SIDEWALK,True,2006,41.751487323,-87.64284329700001
HM521554,012XX S KEELER AVE,GAME/DICE,SIDEWALK,True,2006,41.865234809,-87.73003889700001
HK375097,080XX S PAULINA ST,GAME/DICE,OTHER,True,2004,41.747898988,-87.66580347899999
HK286657,067XX S LAFLIN ST,GAME/DICE,SIDEWALK,True,2004,41.771233788,-87.661565799
G612003,043XX W MONROE ST,GAME/DICE,OTHER,True,2001,41.879546207,-87.734255699
HJ539640,130XX S DREXEL AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.657910804000004,-87.601086943
HK325020,006XX N HOMAN AVE,BOOKMAKING/SPORTS,STREET,True,2004,41.892731298,-87.71135368600001
HJ398928,065XX S STEWART AVE,GAME/DICE,SIDEWALK,True,2003,41.775032175,-87.63492135700001
HP626716,008XX N MOHAWK ST,GAME/DICE,SIDEWALK,True,2008,41.89825206,-87.64121677600001
HM645141,039XX W 70TH ST,GAME/CARDS,OTHER,True,2006,41.765930352,-87.72122702700001
HT140438,032XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,OTHER,True,2011,41.968435211,-87.710158159
HY189871,012XX S AVERS AVE,GAME/DICE,SIDEWALK,True,2015,41.865708294,-87.721498739
HH613356,060XX S CHAMPLAIN AVE,GAME/DICE,VACANT LOT/LAND,True,2002,41.784983299000004,-87.609700461
HM380553,014XX N HUMBOLDT DR,GAME/DICE,PARK PROPERTY,True,2006,41.907385235999996,-87.701248505
HN649072,0000X E 118TH PL,GAME/DICE,SIDEWALK,False,2007,41.678950597,-87.621889761
HK302001,074XX S SANGAMON ST,GAME/DICE,SIDEWALK,True,2004,41.759251061,-87.647902337
HN553278,085XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2007,41.738528729,-87.65948850299999
HM437138,048XX W SUPERIOR ST,GAME/DICE,ALLEY,True,2006,41.89404353,-87.74691293299999
HH719388,050XX S WABASH AVE,ILLEGAL ILL LOTTERY,STREET,True,2002,41.802873744,-87.624298254
HH623140,044XX S PRINCETON AVE,GAME/DICE,STREET,True,2002,41.81326227,-87.633482747
HR324998,050XX S COTTAGE GROVE AVE,GAME/DICE,PARK PROPERTY,True,2009,41.803851632,-87.606443973
HL639750,033XX W FOSTER AVE,GAME/CARDS,OTHER,True,2005,41.975702719000004,-87.71284917700001
HV176668,078XX S KIMBARK AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2012,41.752703339,-87.593084065
HS510600,053XX S JUSTINE ST,GAME/DICE,SIDEWALK,True,2010,41.796936816999995,-87.663446505
HL661975,070XX S EBERHART AVE,GAME/DICE,SIDEWALK,True,2005,41.766874454,-87.612873151
HH617894,045XX S EVANS AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2002,41.812507581999995,-87.608260926
HS457262,063XX S CAMPBELL AVE,GAME/DICE,SIDEWALK,True,2010,41.778380602,-87.686062637
HN162486,077XX S INGLESIDE AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2007,41.754168689000004,-87.60163575600001
HM366564,009XX N LAWLER AVE,GAME/DICE,SIDEWALK,True,2006,41.897691777,-87.75199619200001
HH609083,027XX W FULLERTON AVE,BOLITA OR BOLI PUL/RUNNER,STREET,True,2002,41.924829398,-87.695130755
HK594600,003XX S KILBOURN AVE,GAME/DICE,SIDEWALK,True,2004,41.876534901999996,-87.737783136
HP340225,074XX S OAKLEY AVE,GAME/DICE,SIDEWALK,True,2008,41.758777005,-87.680538343
HM218650,005XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2006,41.891027965,-87.712523445
HJ470252,056XX S ABERDEEN ST,GAME/DICE,SIDEWALK,True,2003,41.791852481,-87.65238462399999
HT291195,062XX S ARTESIAN AVE,GAME/DICE,SIDEWALK,True,2011,41.780388308,-87.68489119799999
HW231463,009XX W ARMITAGE AVE,OTHER,CTA TRAIN,True,2013,41.918117086,-87.652616524
HK372169,010XX E 80TH ST,GAME/DICE,OTHER,True,2004,41.749516969,-87.599464151
G502641,063XX S MAPLEWOOD AV,GAME/DICE,SIDEWALK,True,2001,41.778816467,-87.687440452
HZ434429,051XX W NORTH AVE,GAME/DICE,SIDEWALK,True,2016,41.909520271,-87.75433194799999
HL392354,075XX S CONSTANCE AVE,GAME/DICE,PARK PROPERTY,True,2005,41.758122033,-87.579798041
HV280138,057XX S ARTESIAN AVE,OTHER,SIDEWALK,True,2012,41.789198845,-87.685132436
HX315982,089XX S BRANDON AVE,GAME/DICE,SIDEWALK,True,2014,41.733060836,-87.547000559
HL304786,079XX S VERNON AVE,GAME/DICE,SIDEWALK,True,2005,41.750551037,-87.613697029
HW384350,013XX S SPAULDING AVE,GAME/DICE,SIDEWALK,True,2013,41.862792551,-87.708002191
HZ162250,016XX S HOMAN AVE,GAME/DICE,SIDEWALK,True,2016,41.858568010999996,-87.710319284
HN312538,014XX N LAWLER AVE,GAME/DICE,STREET,True,2007,41.906907979,-87.75220280399999
HN448656,052XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2007,41.882360048,-87.75587718700001
HN520989,005XX E BROWNING AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2007,41.829879483,-87.61229185100001
HS538703,109XX S RACINE AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2010,41.694620339000004,-87.65216994200001
HP448685,008XX W 54TH ST,GAME/DICE,SIDEWALK,True,2008,41.796024406,-87.64649481100001
HR518517,003XX N PINE AVE,GAME/DICE,SIDEWALK,True,2009,41.886840651,-87.763416845
HV343438,068XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2012,41.770648384,-87.583786515
