column	designation	type	code	ordinal_value	code_designation
			       Stucco		Stucco
			       VinylSd		Vinyl Siding
			       Wd Sdng		Wood Siding
			       WdShing		Wood Shingles
Exterior 2nd	Exterior covering on house (if more than one material)	Nominal	       AsbShng		Asbestos Shingles
			       AsphShn		Asphalt Shingles
			       BrkComm		Brick Common
			       BrkFace		Brick Face
			       CBlock		Cinder Block
			       CemntBd		Cement Board
			       HdBoard		Hard Board
			       ImStucc		Imitation Stucco
			       MetalSd		Metal Siding
			       Other		Other
			       Plywood		Plywood
			       PreCast		PreCast
			       Stone		Stone
			       Stucco		Stucco
			       VinylSd		Vinyl Siding
			       Wd Sdng		Wood Siding
			       WdShing		Wood Shingles
Mas Vnr Type	Masonry veneer type	Nominal	       BrkCmn		Brick Common
			       BrkFace		Brick Face
			       CBlock		Cinder Block
			       None		None
			       Stone		Stone
Mas Vnr Area	Masonry veneer area in square feet	Continuous			
Exter Qual	Evaluates the quality of the material on the exterior 	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Average/Typical
			       Fa	4	Fair
			       Po	2	Poor
Exter Cond	Evaluates the present condition of the material on the exterior	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Average/Typical
			       Fa	4	Fair
			       Po	2	Poor
Foundation	 Type of foundation	Nominal	       BrkTil	10	Brick & Tile
			       CBlock	8	Cinder Block
			       PConc	6	Poured Contrete
			       Slab	4	Slab
			       Stone	2	Stone
			       Wood	0	Wood
Bsmt Qual	Evaluates the height of the basement	Ordinal	       Ex	10	Excellent (100+ inches)
			       Gd	8	Good (90-99 inches)
			       TA	6	Typical (80-89 inches)
			       Fa	4	Fair (70-79 inches)
			       Po	2	Poor (<70 inches
			       NA	0	No Basement
Bsmt Cond	Evaluates the general condition of the basement	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Typical - slight dampness allowed
			       Fa	4	Fair - dampness or some cracking or settling
			       Po	2	Poor - Severe cracking, settling, or wetness
			       NA	0	No Basement
Bsmt Exposure	 Refers to walkout or garden level walls	Ordinal	       Gd	10	Good Exposure
			       Av	8	Average Exposure (split levels or foyers typically score average or above)
			       Mn	6	Mimimum Exposure
			       No	4	No Exposure
			       NA	2	No Basement
BsmtFin Type 1	Rating of basement finished area	Ordinal	       GLQ	10	Good Living Quarters
			       ALQ	8	Average Living Quarters
			       BLQ	6	Below Average Living Quarters
			       Rec	4	Average Rec Room
			       LwQ	2	Low Quality
			       Unf	1	Unfinshed
			       NA	0	No Basement
BsmtFin SF 1	Type 1 finished square feet	Continuous			
BsmtFinType 2	Rating of basement finished area (if multiple types)	Ordinal	       GLQ	10	Good Living Quarters
			       ALQ	8	Average Living Quarters
			       BLQ	6	Below Average Living Quarters
			       Rec	4	Average Rec Room
			       LwQ	2	Low Quality
			       Unf	1	Unfinshed
			       NA	0	No Basement
BsmtFin SF 2	Type 2 finished square feet	Continuous			
Bsmt Unf SF	 Unfinished square feet of basement area	Continuous			
Total Bsmt SF	Total square feet of basement area	Continuous			
Heating	Type of heating	Nominal	       Floor		Floor Furnace
			       GasA		Gas forced warm air furnace
			       GasW		Gas hot water or steam heat
			       Grav		Gravity furnace
			       OthW		Hot water or steam heat other than gas
			       Wall		Wall furnace
Heating QC	Heating quality and condition	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Average/Typical
			       Fa	4	Fair
			       Po	2	Poor
Central Air	Central air conditioning	Nominal	       N		No
			       Y		Yes
Electrical	Electrical system	Ordinal	       SBrkr	10	Standard Circuit Breakers & Romex
			       FuseA	8	Fuse Box over 60 AMP and all Romex wiring (Average)
			       FuseF	6	60 AMP Fuse Box and mostly Romex wiring (Fair)
			       FuseP	4	60 AMP Fuse Box and mostly knob & tube wiring (poor)
			       Mix	2	Mixed
1st Flr SF	First Floor square feet	Continuous			
2nd Flr SF	Second floor square feet	Continuous			
Low Qual Fin SF	Low quality finished square feet (all floors)	Continuous			
Gr Liv Area	Above grade (ground) living area square feet	Continuous			
Bsmt Full Bath	Basement full bathrooms	Discrete			
Full Bath	Full bathrooms above grade	Discrete			
Half Bath	Half baths above grade	Discrete			
Bedroom	Bedrooms above grade (does NOT include basement bedrooms)	Discrete			
Kitchen	Kitchens above grade	Discrete			
Kitchen Qual	Kitchen quality	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Typical/Average
			       Fa	4	Fair
			       Po	0	Poor
TotRmsAbvGrd	Total rooms above grade (does not include bathrooms)	Discrete			
Functional	Home functionality (Assume typical unless deductions are warranted)	Ordinal	       Typ	10	Typical Functionality
			       Min1	9	Minor Deductions 1
			       Min2	8	Minor Deductions 2
			       Mod	7	Moderate Deductions
			       Maj1	6	Major Deductions 1
			       Maj2	5	Major Deductions 2
			       Sev	4	Severely Damaged
			       Sal	3	Salvage only
Fireplaces	Number of fireplaces	Discrete			
FireplaceQu	Fireplace quality	Ordinal	       Ex	10	Excellent - Exceptional Masonry Fireplace
			       Gd	8	Good - Masonry Fireplace in main level
			       TA	6	Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement
			       Fa	4	Fair - Prefabricated Fireplace in basement
			       Po	2	Poor - Ben Franklin Stove
			       NA	0	No Fireplace
Garage Type	Garage location	Nominal	       2Types		More than one type of garage
			       Attchd		Attached to home
			       Basment		Basement Garage
			       BuiltIn		Built-In (Garage part of house - typically has room above garage)
			       CarPort		Car Port
			       Detchd		Detached from home
			       NA		No Garage
Garage Yr Blt	 Year garage was built	Discrete			
Garage Finish	 Interior finish of the garage	Ordinal	       Fin	10	Finished
			       RFn	8	Rough Finished
			       Unf	6	Unfinished
			       NA	0	No Garage
Garage Cars	 Size of garage in car capacity	Discrete			
Garage Area	Size of garage in square feet	Continuous			
Garage Qual	Garage quality	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Typical/Average
			       Fa	4	Fair
			       Po	2	Poor
			       NA	0	No Garage
Garage Cond	Garage condition	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Typical/Average
			       Fa	4	Fair
			       Po	2	Poor
			       NA	0	No Garage
Paved Drive	Paved driveway	Ordinal	       Y	10	Paved 
			       P	5	Partial Pavement
			       N	0	Dirt/Gravel
Wood Deck SF	Wood deck area in square feet	Continuous			
Open Porch SF	 Open porch area in square feet	Continuous			
Enclosed Porch	Enclosed porch area in square feet	Continuous			
Screen Porch	Screen porch area in square feet	Continuous			
Pool Area	Pool area in square feet	Continuous			
Pool QC	Pool quality	Ordinal	       Ex	10	Excellent
			       Gd	8	Good
			       TA	6	Average/Typical
			       Fa	4	Fair
			       NA	0	No Pool
Fence	Fence quality	Ordinal	       GdPrv	10	Good Privacy
			       MnPrv	8	Minimum Privacy
			       GdWo	6	Good Wood
			       MnWw	4	Minimum Wood/Wire
			       NA	2	No Fence
Misc Feature	Miscellaneous feature not covered in other categories	Nominal	       Elev		Elevator
			       Gar2		2nd Garage (if not described in garage section)
			       Othr		Other
			       Shed		Shed (over 100 SF)
			       TenC		Tennis Court
			       NA		None
Misc Val	$Value of miscellaneous feature	Continuous			
Mo Sold	 Month Sold (MM)	Discrete			
Yr Sold	Year Sold (YYYY)	Discrete			
Sale Type	Type of sale	Nominal	       WD 	10	Warranty Deed - Conventional
			       CWD	9	Warranty Deed - Cash
			       VWD	8	Warranty Deed - VA Loan
			       New	7	Home just constructed and sold
			       COD	6	Court Officer Deed/Estate
			       Con	5	Contract 15% Down payment regular terms
			       ConLw	4	Contract Low Down payment and low interest
			       ConLI	3	Contract Low Interest
			       ConLD	2	Contract Low Down
			       Oth	1	Other
Sale Condition	Condition of sale	Nominal	       Normal		Normal Sale
			       Abnorml		Abnormal Sale -  trade, foreclosure, short sale
			       AdjLand		Adjoining Land Purchase
			       Alloca		Allocation - two linked properties with separate deeds, typically condo with a garage unit
			       Family		Sale between family members
			       Partial		Home was not completed when last assessed (associated with New Homes)
SalePrice	Sale price $$	Continuous			
